platform,url,account,account_id,media_title,media_length
Daily Motion,https://www.dailymotion.com/video/x2vbbkk,CD MLP Scratch,,MLP- La Mágia de la Amistad- 'Cada Vez Más Popular',
Daily Motion,https://www.dailymotion.com/video/x2ven1p,CD MLP Scratch,,MLP- La Mágia de la Amistad - 'Este día va ser perfecto',
Daily Motion,https://www.dailymotion.com/video/x2vh8va,CD MLP Scratch,,MLP- Equestria Girls - Rainbow Rocks - Cortos Animados [1º Corto] Música para mis Oídos (Español Latino),
Daily Motion,https://www.dailymotion.com/video/x2vhd7k,CD MLP Scratch,,MLP- Equestria Girls - Rainbow Rocks - Cortos Animados [4º Corto] ¡A Bailar! (Español Latino),
Daily Motion,https://www.dailymotion.com/video/x2vhg8v,CD MLP Scratch,,MLP- La Mágica de la Amistad - (Canción de la Sonrisa) !!!!Todo Pony Tiene que Reír!!!!,
Daily Motion,https://www.dailymotion.com/video/x2vjywc,CD MLP Scratch,,MLP- La Mágica de la Amistad - !!!!En la Gala!!!!!,
Daily Motion,https://www.dailymotion.com/video/x2w2y0g,CD MLP Scratch,,MLP- La Mágica de la Amistad - La Canción de Flim Flam,
Daily Motion,https://www.dailymotion.com/video/x33oi9p,CD MLP Scratch,,My Little Pony: La Magía de la Amistad [2x17]  | El Día de los Corazones y los Cascos [Español Latino][HD],
Daily Motion,https://www.dailymotion.com/video/x33vkdt,CD MLP Scratch,,My Little Pony: La Magía de la Amistad [1x14]  | Vestida para el Éxito [Español Latino][HD],
Daily Motion,https://www.dailymotion.com/video/x37xch2,CD MLP Scratch,,MLP_ Equestria Girls - Friendship Games - Suelta la magia [Canción],
Daily Motion,https://www.dailymotion.com/video/x3kskhr,HİTS SERİES 33,,MLP: Equestria Girls Rainbow Rocks Corto EXCLUSIVO Un Día Perfecto Para la Diversión,
Daily Motion,https://www.dailymotion.com/video/x3kv06d,HİTS SERİES 33,,MLP: Equestria Girls Rainbow Rocks SNEAK PEEK #3,
Daily Motion,https://www.dailymotion.com/video/x3kv1an,HİTS SERİES 33,,My Little Pony Equestria Girls en français,
Daily Motion,https://www.dailymotion.com/video/x3kve55,HİTS SERİES 33,,MLP Equestria Girls Twilight Sparkle and Flash Sentry Love Sweet Kisses,
Daily Motion,https://www.dailymotion.com/video/x3l3gwm,HİTS SERİES 33,,MLP: Equestria Girls Rainbow Rocks Life is a Runway (GALA Major Version),
