platform,url,account,account_id
Daily Motion,https://www.dailymotion.com/video/x3lcfea,,
Daily Motion,https://www.dailymotion.com/video/x3lgz7s,,
Daily Motion,https://www.dailymotion.com/video/x3lmwf1,,
Daily Motion,https://www.dailymotion.com/video/x3mgvbv,,
Daily Motion,https://www.dailymotion.com/video/x3msmo0,,
Daily Motion,https://www.dailymotion.com/video/x3n55u5,,
Daily Motion,https://www.dailymotion.com/video/x3n5ejt,,
Daily Motion,https://www.dailymotion.com/video/x3nc9vm,,
Daily Motion,https://www.dailymotion.com/video/x3pvsi4,,
Daily Motion,https://www.dailymotion.com/video/x3rchbx,,
Daily Motion,https://www.dailymotion.com/video/x3rcic4,,
Daily Motion,https://www.dailymotion.com/video/x3rfvdq,,
Daily Motion,https://www.dailymotion.com/video/x3rhmnt,,
Daily Motion,https://www.dailymotion.com/video/x3rmcw9,,
Daily Motion,https://www.dailymotion.com/video/x3rmfkn,,
Daily Motion,https://www.dailymotion.com/video/x3rta0z,,
Daily Motion,https://www.dailymotion.com/video/x3s1syo,,
Daily Motion,https://www.dailymotion.com/video/x3s1uj7,,
Daily Motion,https://www.dailymotion.com/video/x44aqvh,,
Daily Motion,https://www.dailymotion.com/video/x44f6b5,,
Daily Motion,https://www.dailymotion.com/video/x43nz9p,,
Daily Motion,https://www.dailymotion.com/video/x4408vs,,
Daily Motion,https://www.dailymotion.com/video/x44a82s,,
Daily Motion,https://www.dailymotion.com/video/x43w1sx,,
Daily Motion,https://www.dailymotion.com/video/x2vbbkk,,
Daily Motion,https://www.dailymotion.com/video/x2ven1p,,
Daily Motion,https://www.dailymotion.com/video/x2vh8va,,
Daily Motion,https://www.dailymotion.com/video/x2vhd7k,,
Daily Motion,https://www.dailymotion.com/video/x2vhg8v,,
Daily Motion,https://www.dailymotion.com/video/x2vjywc,,
Daily Motion,https://www.dailymotion.com/video/x2w2y0g,,
Daily Motion,https://www.dailymotion.com/video/x33oi9p,,
Daily Motion,https://www.dailymotion.com/video/x33vkdt,,
Daily Motion,https://www.dailymotion.com/video/x37xch2,,
