platform,url,account,account_id,media_title,media_length
YouTube,https://www.youtube.com/watch?v=OLS_l4rCJKw,,,,
YouTube,https://www.youtube.com/watch?v=ptUg4FnFJsU,,,,
YouTube,https://www.youtube.com/watch?v=q241YydO23k,,,,
YouTube,https://www.youtube.com/watch?v=qhGihQQxJxM,,,,
YouTube,https://www.youtube.com/watch?v=qNgNRDXx3nw,,,,
YouTube,https://www.youtube.com/watch?v=rt90coIU268,,,,
YouTube,https://www.youtube.com/watch?v=rXcV8nIWWyU,,,,
YouTube,https://www.youtube.com/watch?v=TBVtl25ixu8,,,,
YouTube,https://www.youtube.com/watch?v=TdaTQO85fOU,,,,
YouTube,https://www.youtube.com/watch?v=tgzyKG6lJSc,,,,
YouTube,https://www.youtube.com/watch?v=UO0fYvJzl0o,,,,
YouTube,https://www.youtube.com/watch?v=URkG7CLL3Ss,,,,
YouTube,https://www.youtube.com/watch?v=utUQXeOk-zU,,,,
YouTube,https://www.youtube.com/watch?v=vk6NKDCOS-g,,,,
YouTube,https://www.youtube.com/watch?v=Wpht7MLlhYk,,,,
YouTube,https://www.youtube.com/watch?v=WzyEBam1uAE,,,,
YouTube,https://www.youtube.com/watch?v=ykqEaSk3U34,,,,
YouTube,https://www.youtube.com/watch?v=ZrNA7PAoWoA,,,,
YouTube,https://www.youtube.com/watch?v=e42yCiipGMA,,,,
YouTube,https://www.youtube.com/watch?v=RcQn0PKoyEg,,,,
YouTube,https://www.youtube.com/watch?v=_R8QaUUlZQQ,,,,
YouTube,https://www.youtube.com/watch?v=0gYwbisMths,,,,
YouTube,https://www.youtube.com/watch?v=1LGThOn27gE,,,,
YouTube,https://www.youtube.com/watch?v=4A392QhQAJg,,,,
YouTube,https://www.youtube.com/watch?v=5Ka-tkMaTKI,,,,
YouTube,https://www.youtube.com/watch?v=8FSY1d1H9tk,,,,
YouTube,https://www.youtube.com/watch?v=8ka6Uxc0-m8,,,,
YouTube,https://www.youtube.com/watch?v=8tTAshCtN9o,,,,
YouTube,https://www.youtube.com/watch?v=aMlONsjmd44,,,,
YouTube,https://www.youtube.com/watch?v=BcVZ7x9HEgo,,,,
YouTube,https://www.youtube.com/watch?v=cbwJyXnlMes,,,,
YouTube,https://www.youtube.com/watch?v=chWXr8ztkyA,,,,
YouTube,https://www.youtube.com/watch?v=ctiR6E8Xc8I,,,,
YouTube,https://www.youtube.com/watch?v=d4pI53-yNU8,,,,
YouTube,https://www.youtube.com/watch?v=DQPDtVyK1D8,,,,
YouTube,https://www.youtube.com/watch?v=ER3OIfuHxow,,,,
YouTube,https://www.youtube.com/watch?v=F-fVB2xqfWQ,,,,
YouTube,https://www.youtube.com/watch?v=FAd593ckvFU,,,,
YouTube,https://www.youtube.com/watch?v=Fu63GEmrIwQ,,,,
YouTube,https://www.youtube.com/watch?v=GjjxWK_GpBY,,,,
YouTube,https://www.youtube.com/watch?v=govqpmM02uA,,,,
YouTube,https://www.youtube.com/watch?v=IkD8-SlPLIc,,,,
YouTube,https://www.youtube.com/watch?v=KESwOjh1i3I,,,,
YouTube,https://www.youtube.com/watch?v=lu0O7cu3AxU,,,,
YouTube,https://www.youtube.com/watch?v=msGMkMhYw_U,,,,
